,Rearing_LAB ,Age_weeks,sample_type,extraction_date,extraction_run,extracted_by,DNA_elution_Vol_ul,Quantification_method,DNA_conc_ng_ul,260 / 280,230 / 260,16S_PCR_date,PCR_plate,PCR_row,PCR_position,library_conc_ng_ul,FA_kit_used,repeat_library_prep,library_prep_attempt,Use_for_pooling,Dilution_factor,Vol_EB_ul,Vol_DNA_ul,light_cycle,cage_type,bedding_material,bedding_autoclaved,house_present,roll_present,enrichment_autoclaved,diet,diet_treatment,water_autoclaved,water_chlorinated,mean_room_temp_C,room_humidity,other_animals_present,other_animals_present_kind,housing_room_condition,tail_handling,Notes,median_count
S50,4,8.0,0,1,5.0,1,200.0,0,296.29,1.87,0.88,2,1,5,5,12.2,1,0,1,1,2.22,3.65,3.0,0,3,3,1,0,1,1,0,1,1,1,2,2,0,1,0,0,0,0.0
S51,4,8.0,0,1,5.0,1,200.0,0,302.47,1.86,1.49,2,1,5,6,14.7,1,0,1,1,2.67,5.02,3.0,0,3,3,1,0,1,1,0,1,1,1,2,2,0,1,0,0,0,0.0
S52,4,8.0,0,1,5.0,1,200.0,0,310.71,1.84,1.86,2,1,5,7,11.12,1,0,1,1,2.02,3.06,3.0,0,3,3,1,0,1,1,0,1,1,1,2,2,0,1,0,0,0,0.0
S53,4,8.0,0,1,5.0,1,200.0,0,297.5,1.87,2.1,2,1,5,8,17.12,1,0,1,1,3.11,6.34,3.0,0,3,3,1,0,1,1,0,1,1,1,2,2,0,1,0,0,0,0.0
S54,4,8.0,0,1,5.0,1,200.0,0,263.83,1.87,2.05,2,1,5,9,20.43,1,0,1,1,3.71,8.14,3.0,0,3,3,1,0,1,1,0,1,1,1,2,2,0,1,0,0,0,0.0
S55,3,8.0,0,1,5.0,1,200.0,0,246.87,1.89,1.23,2,1,5,10,12.31,1,0,1,1,2.24,3.72,3.0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,4,0,0,0,0.0
S56,3,8.0,0,1,5.0,1,200.0,0,299.06,1.83,1.93,2,1,5,11,7.04,1,0,1,1,1.28,0.84,3.0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,4,0,0,0,0.0
S57,3,8.0,0,1,5.0,1,200.0,0,294.41,1.87,1.47,2,1,5,12,14.16,1,0,1,1,2.58,4.73,3.0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,4,0,0,0,0.0
S58,3,8.0,0,7,6.0,1,200.0,0,164.77,1.88,1.86,2,1,4,1,10.86,1,0,1,1,1.97,2.92,3.0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,4,0,0,0,0.0
S59,3,8.0,0,7,6.0,1,200.0,0,187.48,1.9,0.82,2,1,4,2,11.43,1,0,1,1,2.08,3.24,3.0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,4,0,0,0,0.0
S6,0,8.0,0,5,1.0,0,100.0,1,115.0,1.93,0.3,2,1,0,6,14.27,1,0,1,1,2.6,4.79,3.0,1,1,1,0,1,0,0,0,0,0,1,3,3,0,3,0,0,0,0.0
S60,3,8.0,0,7,6.0,1,200.0,0,223.47,1.89,1.22,2,1,4,3,15.72,1,0,1,1,2.86,5.58,3.0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,4,0,0,0,0.0
S7,1,8.0,0,5,1.0,0,100.0,1,142.0,1.89,0.71,2,1,0,7,30.27,1,0,1,1,5.5,13.51,3.0,1,2,1,0,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0.0
S8,1,8.0,0,5,1.0,0,100.0,1,220.0,1.88,0.77,2,1,0,8,24.24,1,0,1,1,4.41,10.22,3.0,1,2,1,0,1,0,0,0,0,0,1,0,3,0,2,0,0,4,0.0
S9,1,8.0,0,5,1.0,0,100.0,1,119.0,1.9,1.74,2,1,0,9,25.67,1,0,1,1,4.67,11.0,3.0,1,2,1,0,1,0,0,0,0,0,1,0,3,0,2,0,0,4,0.0
