Sex
Animals_for 
cage_ID
BOX 
Position 
Vol_25ng_ul
Vol_H2O
barcode_F
barcode_R
sequence_F
sequence_R
cage_top
Ventilation_system
BW_g
BW1_g
BW2_g
BW3_g
BW4_g
BW5_g
